Address,Minted,Cost Per Slothty,Total Cost,IDs
0x22AA6d174D3ce3379dB1eA8FFE051e3895Ea2792,10,249,2490,"[878, 5885, 3223, 8465, 1123, 121, 2505, 3104, 6193, 6133]"
0x2e478849dfF89Be94375A12A19631EE398e6F354,10,249,2490,"[4205, 4431, 5926, 7896, 4449, 6152, 8126, 2391, 8740, 1632]"
0xc405682C726799a95d5528b10935A0900FA3a881,10,249,2490,"[1689, 1149, 2969, 8179, 3712, 3904, 7385, 5709, 7845, 6467]"
0xa7F6FF4c1F069eEe4F3cdc1f9cB9629a7285a21f,10,249,2490,"[4906, 5192, 963, 765, 8240, 1043, 8551, 8433, 4159, 846]"
0x5B727dcb8d96998499fE42b12a5cEAE5C70F57bC,8,299,2392,"[6528, 3006, 5588, 1154, 3936, 7144, 7331, 8078]"
0xaf676658Db6611D4ceB083D64a7934aFDc910C30,9,249,2241,"[5249, 557, 8500, 8684, 4039, 5469, 4071, 3148, 8116]"
0x426072fF14A9c89fd52b802F7241c8Cf09bEC104,9,249,2241,"[2847, 814, 6843, 6073, 7787, 473, 6409, 1126, 5099]"
0x22ec61311d6A8DcB5fA989f8e04c2dfD32E199b4,9,249,2241,"[6103, 5891, 813, 7321, 7406, 6404, 1025, 2385, 7120]"
0xe671084A8cA23eD5918E86E1788a961A4c054190,9,249,2241,"[3532, 3742, 3485, 8702, 8718, 1059, 1396, 825, 6895]"
0x6BAf62ace65420Db49bFF71bf36D64C224221dB6,9,249,2241,"[2376, 6162, 6545, 3387, 4882, 1520, 2678, 240, 8608]"
0x43CB8c1bbB08175485575a89081C78a40Aeb3e84,9,249,2241,"[1151, 6744, 277, 7439, 6210, 2813, 211, 3692, 5372]"
0x18BE534Dc2FF48561c2021cCaD61aEdB981Dccef,9,249,2241,"[4010, 902, 7466, 7954, 984, 3995, 3463, 113, 577]"
0x19940865Abb414F29b28D3dff73F012B162Ab01d,9,249,2241,"[1010, 8289, 2382, 1679, 1192, 4084, 2984, 524, 6172]"
0x99c523647b9093193144386A6d44734894A7111a,9,249,2241,"[5112, 5718, 7367, 8359, 8170, 3445, 8244, 5495, 4414]"
